filename,test_fold
00359.nii.gz,0
00184.nii.gz,0
00466.nii.gz,0
00262.nii.gz,0
00282.nii.gz,0
00012.nii.gz,0
00250.nii.gz,0
00155.nii.gz,0
00267.nii.gz,0
00285.nii.gz,0
00079.nii.gz,0
00498.nii.gz,0
00196.nii.gz,0
00499.nii.gz,0
00452.nii.gz,0
00138.nii.gz,0
00292.nii.gz,0
00407.nii.gz,0
00529.nii.gz,0
00231.nii.gz,0
00459.nii.gz,0
00489.nii.gz,0
00241.nii.gz,0
00515.nii.gz,0
00537.nii.gz,0
00229.nii.gz,0
00081.nii.gz,0
00110.nii.gz,0
00210.nii.gz,0
00042.nii.gz,0
00413.nii.gz,0
00180.nii.gz,0
00287.nii.gz,0
00172.nii.gz,0
00355.nii.gz,0
00435.nii.gz,0
00072.nii.gz,0
00297.nii.gz,0
00484.nii.gz,0
00028.nii.gz,0
00211.nii.gz,0
00043.nii.gz,0
00468.nii.gz,0
00067.nii.gz,0
00166.nii.gz,0
00027.nii.gz,0
00154.nii.gz,0
00098.nii.gz,0
00406.nii.gz,0
00408.nii.gz,0
00087.nii.gz,0
00046.nii.gz,0
00344.nii.gz,0
00088.nii.gz,0
00153.nii.gz,0
00226.nii.gz,1
00399.nii.gz,1
00201.nii.gz,1
00467.nii.gz,1
00280.nii.gz,1
00463.nii.gz,1
00217.nii.gz,1
00272.nii.gz,1
00320.nii.gz,1
00050.nii.gz,1
00048.nii.gz,1
00239.nii.gz,1
00450.nii.gz,1
00278.nii.gz,1
00372.nii.gz,1
00288.nii.gz,1
00540.nii.gz,1
00204.nii.gz,1
00129.nii.gz,1
00530.nii.gz,1
00364.nii.gz,1
00156.nii.gz,1
00176.nii.gz,1
00362.nii.gz,1
00536.nii.gz,1
00377.nii.gz,1
00437.nii.gz,1
00009.nii.gz,1
00244.nii.gz,1
00040.nii.gz,1
00073.nii.gz,1
00432.nii.gz,1
00108.nii.gz,1
00062.nii.gz,1
00394.nii.gz,1
00071.nii.gz,1
00021.nii.gz,1
00532.nii.gz,1
00275.nii.gz,1
00318.nii.gz,1
00101.nii.gz,1
00165.nii.gz,1
00099.nii.gz,1
00378.nii.gz,1
00497.nii.gz,1
00175.nii.gz,1
00066.nii.gz,1
00519.nii.gz,1
00253.nii.gz,1
00506.nii.gz,1
00336.nii.gz,1
00049.nii.gz,1
00323.nii.gz,1
00171.nii.gz,1
00192.nii.gz,1
00446.nii.gz,2
00386.nii.gz,2
00541.nii.gz,2
00205.nii.gz,2
00051.nii.gz,2
00091.nii.gz,2
00036.nii.gz,2
00434.nii.gz,2
00026.nii.gz,2
00007.nii.gz,2
00546.nii.gz,2
00006.nii.gz,2
00395.nii.gz,2
00495.nii.gz,2
00096.nii.gz,2
00151.nii.gz,2
